Country,agr_land,land_area,Birth Rate,cap_city,Co2,CPI,CPI_change,fert_rate,gas,GDP,child_death,life_expect,lang,health_cost,pop,tax_rev,unemploy,lat,lat
Chad,39.7,1284000.0,42.17,N'Djamena,1016.0,117.7,-1.0,5.75,0.78,11314.951343,71.4,54.0,French,56.4,15946876.0,,1.89,15.454166,18.732207
Chile,21.2,756096.0,12.43,Santiago,85822.0,131.91,2.6,1.65,1.03,282318.159745,6.2,80.0,Spanish,32.2,18952038.0,18.2,7.09,-35.675147,-71.542969
China,56.2,9596960.0,10.9,Beijing,9893038.0,125.08,2.9,1.69,0.96,19910000.0,7.4,77.0,Standard Chinese,32.4,1397715000.0,9.4,4.32,35.86166,104.195397
Colombia,40.3,1138910.0,14.88,Bogot�,97814.0,140.95,3.5,1.81,0.68,323802.808108,12.2,77.1,Spanish,18.3,50339443.0,14.4,9.71,4.570868,-74.297333
Comoros,71.5,2235.0,31.88,Moroni,202.0,103.62,-4.3,4.21,,1185.728677,51.3,64.1,French,74.8,850886.0,,4.34,-11.6455,43.3333
Republic of the Congo,31.1,342000.0,32.86,Brazzaville,3282.0,124.74,2.2,4.43,0.97,10820.591131,36.2,64.3,French,43.8,5380508.0,9.0,9.47,-0.228021,15.827659
Costa Rica,34.5,51100.0,13.97,San Jos������,8023.0,128.85,2.1,1.75,0.98,61773.944174,7.6,80.1,Spanish,21.5,5047561.0,13.6,11.85,9.748917,-83.753428
Croatia,27.6,56594.0,9.0,Zagreb,17488.0,109.82,0.8,1.47,1.26,60415.553039,4.0,78.1,Croatian,15.2,4067500.0,22.0,6.93,45.1,15.2
Cyprus,12.2,9251.0,10.46,Nicosia,6626.0,102.51,0.3,1.33,1.23,24564.647935,1.9,80.8,Greek,43.9,1198575.0,24.5,7.27,35.126413,33.429859
Czech Republic,45.2,78867.0,10.7,Prague,102218.0,116.48,2.8,1.69,1.17,246489.245495,2.7,79.0,Czech,14.8,10669709.0,14.9,1.93,49.817492,15.472962
Democratic Republic of the Congo,11.6,2344858.0,41.18,Kinshasa,2021.0,133.85,2.9,5.92,1.49,47319.624204,68.2,60.4,French,37.4,86790567.0,10.7,4.24,-4.038333,21.758664
Denmark,62.0,43094.0,10.6,Copenhagen,31786.0,110.35,0.8,1.73,1.55,348078.018464,3.6,81.0,Danish,13.7,5818553.0,32.4,4.91,56.26392,9.501785
Djibouti,73.4,23200.0,21.47,Djibouti City,620.0,120.25,3.3,2.73,1.32,3318.716359,49.8,66.6,French,20.4,973560.0,,10.3,11.825138,42.590275
Dominica,33.3,751.0,12.0,Roseau,180.0,103.87,1.0,1.9,,596.033333,32.9,76.6,English,28.4,71808.0,22.1,,15.414999,-61.370976
Dominican Republic,48.7,48670.0,19.51,Santo Domingo,25258.0,135.5,1.8,2.35,1.07,88941.298258,24.1,73.9,Spanish,43.7,10738958.0,13.0,5.84,18.735693,-70.162651
Ecuador,22.2,283561.0,19.72,Quito,41155.0,124.14,0.3,2.43,0.61,107435.665,12.2,76.8,Spanish,43.7,17373662.0,,3.97,-1.831239,-78.183406
Egypt,3.8,1001450.0,26.38,Cairo,238560.0,288.57,9.2,3.33,0.4,303175.127598,18.1,71.8,Modern Standard Arabic,62.0,100388073.0,12.5,10.76,26.820553,30.802498
El Salvador,76.4,21041.0,18.25,San Salvador,7169.0,111.23,0.1,2.04,0.83,27022.64,11.8,73.1,Spanish,27.9,6453553.0,18.1,4.11,13.794185,-88.89653
Equatorial Guinea,10.1,28051.0,33.24,Malabo,5655.0,124.35,1.2,4.51,,11026.774945,62.6,58.4,Spanish,72.0,1355986.0,6.1,6.43,1.650801,10.267895
Estonia,23.1,45228.0,10.9,Tallinn,16590.0,122.14,2.3,1.59,1.14,31386.949981,2.1,78.2,Estonian,22.8,1331824.0,20.9,5.11,58.595272,25.013607
Ethiopia,36.3,1104300.0,32.34,Addis Ababa,14870.0,143.86,15.8,4.25,0.75,96107.662398,39.1,66.2,Amharic,37.8,112078730.0,7.5,2.08,9.145,40.489673
Fiji,23.3,18274.0,21.28,Suva,2046.0,132.3,1.8,2.77,0.82,5535.548972,21.6,67.3,Fiji Hindi,21.4,889953.0,24.2,4.1,-17.713371,178.065032
Finland,7.5,338145.0,8.6,Helsinki,45871.0,112.33,1.0,1.41,1.45,268761.201365,1.4,81.7,Swedish,19.9,5520314.0,20.8,6.59,61.92411,25.748151
France,52.4,643801.0,11.3,Paris,303276.0,110.05,1.1,1.88,1.39,2715518.274227,3.4,82.5,French,6.8,67059887.0,24.2,8.43,46.227638,2.213749
Gabon,20.0,267667.0,31.61,Libreville,5321.0,122.19,2.1,3.97,0.92,16657.960228,32.7,66.2,French,25.9,2172579.0,10.2,20.0,-0.803689,11.609444
The Gambia,59.8,11300.0,38.54,Banjul,532.0,172.73,7.1,5.22,1.18,1763.819048,39.0,61.7,English,20.3,2347706.0,9.4,9.06,13.443182,-15.310139
Georgia,34.5,69700.0,13.47,Tbilisi,10128.0,133.61,4.9,2.06,0.76,17743.19577,8.7,73.6,Georgian,57.3,3720382.0,21.7,14.4,42.315407,43.356892
