Country,agr_land,land_area,Birth Rate,cap_city,Co2,CPI,CPI_change,fert_rate,gas,GDP,child_death,life_expect,lang,health_cost,pop,tax_rev,unemploy,lat,lat
Senegal,46.1,196722.0,34.52,Dakar,10902.0,109.25,1.8,4.63,1.14,23578.084052,31.8,67.7,French,44.2,16296364.0,16.3,6.6,14.497401,-14.452362
Serbia,39.3,77474.0,9.2,Belgrade,45221.0,144.0,1.8,1.49,1.16,51409.167351,4.8,75.5,Serbian,40.6,6944975.0,18.6,12.69,44.016521,21.005859
Seychelles,3.4,455.0,17.1,Victoria,605.0,129.96,1.8,2.41,,1698.843063,12.4,72.8,French,2.5,97625.0,34.1,,-4.679574,55.491977
Sierra Leone,54.7,71740.0,33.41,Freetown,1093.0,234.16,14.8,4.26,1.08,3941.474311,78.5,54.3,English,38.2,7813215.0,8.6,4.43,8.460555,-11.779889
Singapore,0.9,716.0,8.8,nan,37535.0,114.41,0.6,1.14,1.25,372062.527489,2.3,83.1,Malay,36.7,5703569.0,13.1,4.11,1.352083,103.819836
Slovakia,39.2,49035.0,10.6,Bratislava,32424.0,115.34,2.7,1.52,1.32,105422.304976,4.6,77.2,Slovak,18.4,5454073.0,18.7,5.56,48.669026,19.699024
Slovenia,30.7,20273.0,9.4,Ljubljana,12633.0,111.05,1.6,1.6,1.32,53742.159517,1.7,81.0,Slovene language,12.5,2087946.0,18.6,4.2,46.151241,14.995463
Solomon Islands,3.9,28896.0,32.44,Honiara,169.0,133.06,1.6,4.4,,1425.074226,17.1,72.8,English,3.3,669823.0,29.5,0.58,-9.64571,160.156194
South Africa,79.8,1219090.0,20.51,Pretoria,476644.0,158.93,4.1,2.41,0.92,351431.649241,28.5,63.9,Afrikaans,7.7,58558270.0,27.5,28.18,-30.559482,22.937506
South Korea,17.4,99720.0,6.4,Seoul,620302.0,115.16,0.4,0.98,1.22,2029000.0,2.7,82.6,Korean,36.8,51709098.0,15.6,4.15,35.907757,127.766922
South Sudan,,644329.0,35.01,Juba,1727.0,4583.71,187.9,4.7,0.28,11997.800751,63.7,57.6,English,61.3,11062113.0,,12.24,6.8769919,31.3069788
Spain,52.6,505370.0,7.9,Madrid,244002.0,110.96,0.7,1.26,1.26,1394116.310769,2.5,83.3,Spanish,24.2,47076781.0,14.2,13.96,40.463667,-3.74922
Sri Lanka,43.7,65610.0,15.83,Colombo,23362.0,155.53,3.5,2.2,0.88,84008.783756,6.4,76.8,Tamil,38.4,21803000.0,11.9,4.2,7.873054,80.771797
Sudan,28.7,1861484.0,32.18,Khartoum,20000.0,1344.19,51.0,4.41,0.95,18902.284476,42.1,65.1,Arabic,63.2,42813238.0,8.0,16.53,12.862807,30.217636
Suriname,0.6,163820.0,18.54,Paramaribo,1738.0,294.66,22.0,2.42,1.29,3985.250737,16.9,71.6,Dutch,10.1,581372.0,19.5,7.33,3.919305,-56.027783
Sweden,7.4,450295.0,11.4,Stockholm,43252.0,110.51,1.8,1.76,1.42,530832.908738,2.2,82.5,Swedish,15.2,10285453.0,27.9,6.48,60.128161,18.643501
Switzerland,38.4,41277.0,10.0,Bern,34477.0,99.55,0.4,1.52,1.45,703082.43536,3.7,83.6,German,28.3,8574832.0,10.1,4.58,46.818188,8.227512
Syria,75.8,185180.0,23.69,Damascus,28830.0,143.2,36.7,2.81,0.83,40405.006007,14.0,71.8,Arabic,53.7,17070135.0,14.2,8.37,34.802075,38.996815
Tajikistan,34.1,144100.0,30.76,Dushanbe,5310.0,148.57,6.0,3.59,0.71,8116.626794,30.4,70.9,Persian,63.1,9321018.0,9.8,11.02,38.861034,71.276093
Tanzania,44.8,947300.0,36.7,Dodoma,11973.0,187.43,3.5,4.89,0.87,63177.068175,37.6,65.0,Swahili,26.1,58005463.0,11.5,1.98,-6.369028,34.888822
Thailand,43.3,513120.0,10.34,Bangkok,283763.0,113.27,0.7,1.53,0.71,543649.976166,7.8,76.9,Thai,11.8,69625582.0,14.9,0.75,15.870032,100.992541
East Timor,25.6,14874.0,29.42,Dili,495.0,145.38,2.6,4.02,1.1,1673.5403,39.3,69.3,Portuguese,10.2,3500000.0,25.0,4.55,-8.874217,125.727539
Togo,70.2,56785.0,33.11,Lom�,3000.0,113.3,0.7,4.32,0.71,5459.979417,47.4,60.8,French,51.0,8082366.0,16.9,2.04,8.619543,0.824782
Tonga,45.8,747.0,24.3,Nuku����,128.0,121.09,7.4,3.56,,450.353314,13.4,70.8,Tongan Language,10.2,100209.0,22.3,1.12,-21.178986,-175.198242
Trinidad and Tobago,10.5,5128.0,12.94,Port of Spain,43868.0,141.75,1.0,1.73,0.54,24100.202834,16.4,73.4,English,37.3,1394973.0,19.5,2.69,10.691803,-61.222503
Tunisia,64.8,163610.0,17.56,Tunis,29937.0,155.33,6.7,2.2,0.73,38797.709924,14.6,76.5,Arabic,39.8,11694719.0,21.1,16.02,33.886917,9.537499
Turkey,49.8,783562.0,16.03,Ankara,372725.0,234.44,15.2,2.07,1.42,754411.708203,9.1,77.4,Turkish,16.9,83429615.0,17.9,13.49,38.963745,35.243322
Uganda,71.9,241038.0,38.14,Kampala,5680.0,173.87,2.9,4.96,0.94,34387.229486,33.8,63.0,Swahili,40.5,44269594.0,11.7,1.84,1.373333,32.290275
Ukraine,71.7,603550.0,8.7,Kyiv,202250.0,281.66,7.9,1.3,0.83,153781.069118,7.5,71.6,Ukrainian,47.8,44385155.0,20.1,8.88,48.379433,31.16558
United Arab Emirates,5.5,83600.0,10.33,Abu Dhabi,206324.0,114.52,-1.9,1.41,0.49,421142.267938,6.5,77.8,Arabic,17.8,9770529.0,0.1,2.35,23.424076,53.847818
United Kingdom,71.7,243610.0,11.0,London,379025.0,119.62,1.7,1.68,1.46,2827113.184696,3.6,81.3,English,14.8,66834405.0,25.5,3.85,55.378051,-3.435973
United States,44.4,9833517.0,11.6,Washington,5006302.0,117.24,7.5,1.73,0.71,21427700.0,5.6,78.5,nan,11.1,328239523.0,9.6,14.7,37.09024,-95.712891
Uruguay,82.6,176215.0,13.86,Montevideo,6766.0,202.92,7.9,1.97,1.5,56045.912952,6.4,77.8,Spanish,16.2,3461734.0,20.1,8.73,-32.522779,-55.765835
Uzbekistan,62.9,447400.0,23.3,Tashkent,91811.0,,,2.42,1.03,57921.28644,19.1,71.6,Uzbek,42.7,33580650.0,14.8,5.92,41.377491,64.585262
Vanuatu,15.3,12189.0,29.6,Port Vila,147.0,117.13,2.8,3.78,1.31,917.058851,22.3,70.3,French,8.9,299882.0,17.8,4.39,-15.376706,166.959158
Venezuela,24.5,912050.0,17.88,Caracas,164175.0,2740.27,254.9,2.27,0.0,482359.318768,21.4,72.1,Spanish,45.8,28515829.0,,8.8,6.42375,-66.58973
Vietnam,39.3,331210.0,16.75,Hanoi,192668.0,163.52,2.8,2.05,0.8,261921.244843,16.5,75.3,Vietnamese,43.5,96462106.0,19.1,2.01,14.058324,108.277199
Yemen,44.6,527968.0,30.45,Sanaa,10609.0,157.58,8.1,3.79,0.92,26914.402224,42.9,66.1,Arabic,81.0,29161922.0,,12.91,15.552727,48.516388
Zambia,32.1,752618.0,36.19,Lusaka,5141.0,212.31,9.2,4.63,1.4,23064.722446,40.4,63.5,English,27.5,17861030.0,16.2,11.43,-13.133897,27.849332
Zimbabwe,41.9,390757.0,30.68,Harare,10983.0,105.51,0.9,3.62,1.34,21440.7588,33.9,61.2,Shona,25.8,14645468.0,20.7,4.95,-19.015438,29.154857
